opportunity_label,type,reason_code,side_pattern,cycles_seen,occurrence_pct,first_cycle,last_cycle,avg_net_profit_usd,min_net_profit_usd,max_net_profit_usd,avg_roi_pct,min_roi_pct,max_roi_pct,avg_required_capital_usd,avg_pair_fill_prob,avg_toxicity,avg_confidence,avg_book_depth_ratio,avg_realized_ev_score,avg_market_volume,median_time_to_resolution_h,median_time_to_resolution_human,realness_score,realness_tier,why,risk_flags,when_money
StandX FDV above $800M one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,129.6058,129.5706,129.6827,24.5143,24.5076,24.5288,528.6952,1.0,0.0,0.9977,5.286952,0.731059,76528.95,7665.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
"Will Trump deport less than 250,000?",correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,91.6041,91.5689,91.6809,9.1604,9.1569,9.1681,1000.0,1.0,0.0,0.9977,18.32,0.731059,365440.63,720.0,~4.3w,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
Will Trump resign before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,86.8576,86.8223,86.9344,8.6858,8.6822,8.6934,1000.0,1.0,0.0,0.9977,20.409924,0.731059,12474.57,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
"Israel x Iran ceasefire broken by March 31, 2026?",correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,40.9539,40.9187,41.0308,7.5087,7.5023,7.5228,545.4171,1.0,0.0,0.9977,5.454171,0.731059,1103271.2,1041.04,~6.2w,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will Trump resign before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,20.3092,20.274,20.386,2.0309,2.0274,2.0386,1000.0,1.0,0.0,0.9977,21.741006,0.731059,12474.57,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Ukraine signs peace deal with Russia by March 31?,correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,13.4988,13.4636,13.5757,2.026,2.0207,2.0375,666.2922,1.0,0.0,0.9977,6.662922,0.731059,244403.34,1041.04,~6.2w,97.25,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will Mamdani raise the minimum wage to $30 before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,19.8974,19.8622,19.9743,4.146,4.1387,4.1621,479.9136,1.0,0.0,0.9977,4.799136,0.731059,10075.62,7641.04,~10.5mo,97.07,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Foreign intervention in Gaza by March 31?,correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,23.0106,22.9754,23.0875,5.0204,5.0127,5.0372,458.3404,1.0,0.0,0.9977,4.583404,0.731059,317656.26,1041.04,~6.2w,96.86,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will xAI release a dLLM by June 30?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,89.949,89.9138,90.0259,26.5531,26.5427,26.5757,338.752,1.0,0.0,0.9977,3.38752,0.731059,2107.12,3225.04,~4.4mo,95.52,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.4mo); earlier convergence exits are possible.
"Israel x Iran ceasefire broken by March 31, 2026?",correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,143.3731,143.3379,143.45,42.4209,42.4104,42.4436,337.9779,1.0,0.0,0.9977,3.379779,0.731059,1103271.2,1041.04,~6.2w,95.51,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will Russia test a nuclear weapon by March 31 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,8.1258,8.0906,8.2026,2.7415,2.7297,2.7675,296.3953,1.0,0.0,0.9977,2.963953,0.731059,1054612.25,720.0,~4.3w,94.93,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
OpenAI $1t+ IPO before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,143.6292,143.594,143.7061,49.2198,49.2078,49.2461,291.8118,1.0,0.0,0.9977,2.918118,0.731059,223814.24,7641.04,~10.5mo,94.88,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will Russia test a nuclear weapon by March 31 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,17.2644,17.2292,17.3412,6.0101,5.9978,6.0368,287.2567,1.0,0.0,0.9977,2.872567,0.731059,1054612.25,720.0,~4.3w,94.81,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
Will xAI release a dLLM by June 30?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,179.997,179.9618,180.0739,72.374,72.3598,72.4049,248.704,1.0,0.0,0.9977,2.48704,0.731059,2107.12,3225.04,~4.4mo,94.23,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.4mo); earlier convergence exits are possible.
Will Russia test a nuclear weapon by March 31 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,69.0498,69.0146,69.1266,29.3241,29.3091,29.3567,235.4713,1.0,0.0,0.9977,2.354713,0.731059,1054612.25,720.0,~4.3w,94.02,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
Will xAI release a dLLM by June 30?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,197.149,197.1138,197.2259,85.1424,85.1272,85.1756,231.552,1.0,0.0,0.9977,2.31552,0.731059,2107.12,3225.04,~4.4mo,93.95,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.4mo); earlier convergence exits are possible.
Will the US confirm that aliens exist before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,41.7474,41.7122,41.8243,19.0026,18.9865,19.0375,219.6936,1.0,0.0,0.9977,2.196936,0.731059,2198049.26,7641.04,~10.5mo,93.75,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Trump impeached by end of 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,6.7092,6.674,6.7861,3.0478,3.0318,3.0827,220.1318,1.0,0.0,0.9977,2.201318,0.731059,427523.32,7641.04,~10.5mo,93.74,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will MetaMask launch a token by June 30?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,8.3554,8.3202,8.4323,4.1179,4.1005,4.1558,202.9056,1.0,0.0,0.9977,2.029056,0.731059,219587.17,5457.04,~7.5mo,93.43,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~7.5mo); earlier convergence exits are possible.
Trump impeached by end of 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,29.4032,29.368,29.4801,14.8924,14.8746,14.9313,197.4378,1.0,0.0,0.997,1.974378,0.731059,427523.32,7641.04,~10.5mo,93.33,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will MetaMask launch a token by June 30?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,37.9458,37.9106,38.0227,21.8941,21.8738,21.9385,173.3152,1.0,0.0,0.997,1.733152,0.731059,219587.17,5457.04,~7.5mo,92.86,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~7.5mo); earlier convergence exits are possible.
Will MetaMask launch a token by June 30?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,46.4002,46.365,46.4771,28.1451,28.1237,28.1917,164.8608,1.0,0.0,0.997,1.648608,0.731059,219587.17,5457.04,~7.5mo,92.68,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~7.5mo); earlier convergence exits are possible.
Will OpenAI’s market cap be less than $500B at market close on IPO day?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,33.716,33.6808,33.7928,24.1527,24.1275,24.2078,139.5951,1.0,0.0,0.997,1.395951,0.731059,230626.86,3225.04,~4.4mo,92.12,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.4mo); earlier convergence exits are possible.
Will Russia capture Kostyantynivka by March 31?,correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,24.351,24.3158,24.4279,17.5756,17.5502,17.6311,138.55,1.0,0.0,0.997,1.3855,0.731059,629425.95,1041.04,~6.2w,92.1,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will OpenAI’s market cap be less than $500B at market close on IPO day?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,123.477,123.4418,123.5539,90.4037,90.378,90.46,136.584,1.0,0.0,0.997,1.36584,0.731059,230626.86,3225.04,~4.4mo,92.06,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.4mo); earlier convergence exits are possible.
"Will Trump deport 750,000 or more people in 2025?",correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,32.7295,9.9471,69.3065,9.5318,9.3018,9.8863,335.1349,1.0,0.0,0.997,3.351349,0.731059,750282.95,720.0,~4.3w,91.05,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
Will Mamdani raise the minimum wage to $30 before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,46.701,46.6658,46.7779,56.131,56.0887,56.2234,83.2,1.0,0.0,0.997,0.832,0.731059,10075.62,7641.04,~10.5mo,90.63,Very High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
"Will Trump deport 750,000 or more people in 2025?",correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,69.5258,21.6471,146.3435,23.0133,22.7295,23.4525,298.3385,1.0,0.0,0.997,2.983385,0.731059,750282.95,720.0,~4.3w,90.61,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
GTA 6 launch postponed again?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,15.371,15.3358,15.4479,20.3509,20.3043,20.4526,75.53,1.0,0.0,0.997,0.7553,0.731059,111219.41,6633.04,~9.1mo,90.38,Very High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~9.1mo); earlier convergence exits are possible.
"Israel x Iran ceasefire broken by March 31, 2026?",correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,28.001,27.9658,28.0779,38.9444,38.8954,39.0513,71.9,1.0,0.0,0.997,0.719,0.731059,1103271.2,1041.04,~6.2w,90.27,Very High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will the U.S. test a nuclear weapon by March 31 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,18.381,18.3458,18.4579,28.0541,28.0003,28.1714,65.52,1.0,0.0,0.997,0.6552,0.731059,94261.54,1041.04,~6.2w,90.06,Very High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~6.2w); earlier convergence exits are possible.
Will the U.S. test a nuclear weapon by March 31 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,25.101,25.0658,25.1779,42.6888,42.629,42.8195,58.8,1.0,0.0,0.997,0.588,0.731059,94261.54,1041.04,~6.2w,89.83,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~6.2w); earlier convergence exits are possible.
Will the U.S. test a nuclear weapon by March 31 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,25.941,25.9058,26.0179,44.7568,44.696,44.8894,57.96,1.0,0.0,0.997,0.5796,0.731059,94261.54,1041.04,~6.2w,89.8,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~6.2w); earlier convergence exits are possible.
Will StandX launch a token by March 31?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,13.7946,13.7594,13.8715,31.354,31.274,31.5287,43.9964,1.0,0.0,0.997,0.439964,0.731059,6897.6,1065.04,~6.3w,89.27,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~6.3w); earlier convergence exits are possible.
Will StandX launch a token by March 31?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,14.3735,14.3383,14.4504,33.1054,33.0243,33.2824,43.4175,1.0,0.0,0.997,0.434175,0.731059,6897.6,1065.04,~6.3w,89.25,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~6.3w); earlier convergence exits are possible.
Will Israel launch a major ground offensive in Lebanon by March 31?,correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,2.0596,2.0244,2.1364,4.8108,4.7286,4.9903,42.8114,1.0,0.0,0.997,0.428114,0.731059,102673.89,1041.04,~6.2w,89.17,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
EdgeX FDV above $1B one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,2.5418,2.5066,2.6187,17.3868,17.146,17.9124,14.6192,1.0,0.0,0.997,0.421467,0.731059,1175994.89,7665.04,~10.5mo,89.15,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will Israel launch a major ground offensive in Lebanon by March 31?,correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,1.2951,1.2599,1.3719,2.9721,2.8913,3.1484,43.5759,1.0,0.0,0.997,0.435759,0.731059,102673.89,1041.04,~6.2w,89.15,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will Trump create a tariff dividend by March 31?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,4.801,4.7658,4.8779,15.9503,15.8333,16.2056,30.1,1.0,0.0,0.997,0.301,0.731059,100265.5,1041.04,~6.2w,88.69,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~6.2w); earlier convergence exits are possible.
Will Trump issue a Gold Card by March 31?,correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,5.501,5.4658,5.5779,18.711,18.5912,18.9724,29.4,1.0,0.0,0.997,0.294,0.731059,140704.66,1041.04,~6.2w,88.66,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
Will Trump's approval rating hit 40% in 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,3.101,3.0658,3.1779,10.7675,10.6452,11.0343,28.8,1.0,0.0,0.997,0.288,0.731059,5502.8,7641.04,~10.5mo,88.61,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Kraken IPO closing market cap above $16B?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,1.9394,1.9042,2.0163,7.1614,7.0314,7.4452,27.0816,1.0,0.0,0.997,0.270816,0.731059,7786.04,7665.04,~10.5mo,88.51,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
MegaETH market cap (FDV) >$2B one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,8.928,8.8928,9.0049,108.4415,108.0139,109.3749,8.233,1.0,0.0,0.997,0.237355,0.731059,5171840.17,720.0,~4.3w,88.42,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
Trump impeached by end of 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,8.221,8.1858,8.2979,34.7172,34.5685,35.0417,23.68,1.0,0.0,0.997,0.2368,0.731059,427523.32,7641.04,~10.5mo,88.42,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
"Kraken IPO by March 31, 2026?",correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,7.7634,7.7282,7.8403,36.5207,36.3551,36.8822,21.2576,1.0,0.0,0.997,0.212576,0.731059,178849.46,7665.04,~10.5mo,88.31,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later temporal leg’s resolution (~10.5mo); earlier convergence exits are possible.
MegaETH market cap (FDV) >$2B one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,3.001,2.9658,3.0779,43.4932,42.983,44.6069,6.9,1.0,0.0,0.997,0.069,0.731059,5171840.17,720.0,~4.3w,87.57,High,persisted 302/302 cycles; high model confidence; thin depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
StandX FDV above $800M one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,4.771,4.7358,4.8479,93.0026,92.3163,94.5005,5.13,1.0,0.0,0.997,0.0513,0.731059,76528.95,7665.04,~10.5mo,87.5,High,persisted 302/302 cycles; high model confidence; thin depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will Trump's approval rating hit 40% in 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,0.701,0.6658,0.7779,4.6121,4.3804,5.1176,15.2,1.0,0.0,0.997,0.152,0.668382,5502.8,7641.04,~10.5mo,87.2,High,persisted 302/302 cycles; high model confidence; moderate depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
"Will Trump meet with Putin by March 31, 2026?",correlation_arb,corr_temporal_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,0.1038,0.0686,0.1807,1.5835,1.0466,2.7554,6.5572,1.0,0.0,0.997,0.065572,0.525928,169313.34,1041.04,~6.2w,84.09,High,persisted 302/302 cycles; high model confidence; thin depth,none,Typically realized at the later temporal leg’s resolution (~6.2w); earlier convergence exits are possible.
OpenAI $1t+ IPO before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,233.3004,233.2652,233.3773,222.4863,222.4527,222.5595,104.8606,1.0,0.0,0.997,1.048606,0.731059,223814.24,7641.04,~10.5mo,82.13,High,persisted 302/302 cycles; high model confidence; good depth; ROI likely notional-inflated,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will Trump's approval rating hit 40% in 2026?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,56.601,56.5658,56.6779,169.9731,169.8673,170.2038,33.3,1.0,0.0,0.997,0.333,0.731059,5502.8,7641.04,~10.5mo,79.97,Medium-High,persisted 302/302 cycles; high model confidence; moderate depth; ROI likely notional-inflated,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
StandX FDV above $800M one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,11.983,11.9478,12.0599,231.422,230.7421,232.9061,5.178,1.0,0.0,0.997,0.14928,0.731059,76528.95,7665.04,~10.5mo,79.21,Medium-High,persisted 302/302 cycles; high model confidence; moderate depth; ROI likely notional-inflated,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
OpenAI $1t+ IPO before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,17.6642,17.629,17.7411,155.5388,155.2288,156.2154,11.3568,1.0,0.0,0.997,0.113568,0.731059,223814.24,7641.04,~10.5mo,79.06,Medium-High,persisted 302/302 cycles; high model confidence; moderate depth; ROI likely notional-inflated,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will StandX launch a token by March 31?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,20.285,20.2498,20.3619,232.2005,231.7975,233.0801,8.736,1.0,0.0,0.997,0.08736,0.731059,6897.6,1065.04,~6.3w,78.94,Medium-High,persisted 302/302 cycles; high model confidence; thin depth; ROI likely notional-inflated,none,Typically realized at the later parent/child resolution (~6.3w); earlier convergence exits are possible.
"Will Trump deport 750,000 or more people in 2025?",correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,116,38.41,187,302,23.0113,22.9769,23.0843,3.0794,3.0748,3.0892,747.2589,1.0,0.0,1.0,7.472589,0.731059,750282.95,720.0,~4.3w,78.83,Medium-High,persisted 116/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
